Midi/Bohemian_Rhapsody.mid
31872,2
32253,2
32447,2
32643,2
33020,2
33213,2
34951,3
35231,3
35329,3
35531,1
35714,2
35762,2
35808,2
35856,2
35903,2
35951,2
35999,2
36047,2
36096,2
36143,2
36189,2
36239,2
36284,2
36332,2
36380,2
36429,2
36480,3
36670,5
36801,4
36845,4
36861,1
36890,5
37166,5
37254,2
37262,5
37632,5
37728,1
37776,6
37824,5
37920,1
37968,6
38016,6
38023,3
38300,5
38303,3
38395,6
38401,3
38445,6
38487,6
38533,6
38589,6
38603,1
38786,2
38795,6
38835,6
38878,6
38918,6
38928,2
38950,6
38967,6
38975,2
38983,6
39000,6
39025,6
39056,6
39083,6
39114,1
39119,2
39142,6
39168,2
39169,1
39191,6
39216,1
39232,5
39252,1
39288,5
39311,2
39328,5
39356,2
39404,2
39452,2
39552,3
39645,5
39650,3
39679,5
39710,5
39737,5
39748,3
39769,1
39812,6
39843,3
39849,6
39882,6
39916,6
39939,1
39956,6
40034,1
40064,5
40100,5
40126,1
40131,1
40163,6
40196,6
40226,1
40228,6
40265,6
40307,6
40326,2
40358,6
40512,2
40560,2
40608,1
40609,1
40660,6
40661,2
40710,2
40711,5
40807,1
40856,6
40896,3
40906,5
40944,2
40993,2
40996,1
41044,6
41045,1
41095,1
41103,6
41375,3
41376,4
41429,5
41473,3
41477,5
41670,6
41675,1
41861,2
41862,5
42116,2
42150,5
42179,2
42242,2
42246,5
42431,2
42438,4
42620,2
42626,3
42627,3
56636,2
56640,2
56654,3
57416,2
57419,2
58035,2
58083,2
58084,3
58109,2
58176,3
58180,3
58305,2
58310,2
58369,2
58372,2
58432,2
58435,2
58558,2
58561,2
58688,2
58692,2
58753,1
58758,1
58817,3
58821,3
58948,3
58953,3
59073,2
59077,2
59137,2
59140,2
59200,2
59202,2
59270,2
59275,2
59325,2
59328,2
59391,2
59393,2
59456,2
59460,2
59712,3
59715,3
59841,2
59843,2
59905,2
59908,2
59968,2
59970,2
60094,2
60098,2
60224,2
60229,2
60289,1
60293,1
60353,3
60357,3
60484,3
60489,3
60609,2
60612,2
60673,2
60677,2
60736,2
60738,2
60861,2
60863,2
60927,1
60932,1
60992,2
60994,2
61246,1
61246,2
61252,2
62399,2
62399,3
62401,3
62784,2
62785,1
62785,2
63168,1
63172,1
63232,3
63234,3
63298,3
63301,3
63361,1
63364,1
63424,3
63427,3
63488,3
63489,3
63552,2
63554,2
63678,4
63684,4
63870,3
63934,1
63934,2
63944,2
64640,1
64702,1
64702,2
64707,2
65063,1
65087,1
65087,2
65087,3
65097,3
65471,2
65471,3
65474,3
65480,3
65975,3
65975,3
65975,3
66102,3
66110,1
66110,3
66230,3
66241,2
66241,3
66999,2
67008,2
67009,1
67397,3
67522,3
67666,1
67732,2
67776,3
67777,2
67783,1
68527,2
68544,2
68545,1
68928,1
69051,3
69124,3
69179,3
69239,1
69312,1
69312,3
69313,2
69683,2
69696,2
69697,1
70066,1
70080,3
70081,2
70448,2
70464,2
70465,1
70784,1
70845,1
70848,3
70852,3
70977,2
70982,2
71041,2
71044,2
71104,2
71107,2
71230,2
71233,2
71360,2
71364,2
71425,1
71430,1
71489,3
71493,3
71620,3
71625,3
71745,2
71749,2
71809,2
71812,2
71872,2
71874,2
71942,2
71947,2
71997,2
72000,2
72063,2
72065,2
72128,2
72132,2
72384,3
72387,3
72513,2
72515,2
72577,2
72580,2
72640,2
72642,2
72766,2
72770,2
72896,2
72901,2
72961,1
72965,1
73025,3
73029,3
73156,3
73161,3
73281,2
73284,2
73408,2
73410,2
73533,2
73535,2
73663,1
73668,1
73728,3
73732,3
73789,3
73794,3
73920,3
73928,3
73984,3
73995,3
74048,1
74060,1
74173,3
74176,3
74236,1
74240,1
74298,4
74304,4
74416,1
74432,1
74488,4
74496,4
74554,4
74560,4
74689,2
74689,2
74690,3
74694,3
74754,3
74817,3
74880,3
74942,1
75006,4
75069,4
75132,4
75195,4
75258,4
75320,4
75439,3
75441,2
75441,2
75648,3
75710,3
75774,3
75837,3
75900,3
75963,3
76026,3
76088,1
76223,2
76224,2
76225,3
76352,1
76418,2
76486,1
76553,3
76620,3
76687,3
76756,3
76828,3
76900,3
77053,2
77055,1
77055,2
77055,2
78576,1
78622,4
78669,5
78719,5
78966,1
79009,4
79055,4
79108,5
79344,1
79391,4
79440,5
79488,5
79676,4
79676,5
79831,5
79879,4
79879,5
80060,4
80060,5
80204,4
80204,5
80253,4
80253,5
80451,4
80452,4
80584,4
80584,5
80612,4
80612,5
80645,4
80645,5
80736,5
80829,5
80832,5
80837,1
80848,1
80848,6
81029,4
81037,6
81037,6
81134,6
81134,6
81221,5
81224,5
81234,5
81234,6
81234,6
81601,5
81601,6
81602,5
81884,5
81884,6
81887,5
81887,1
81887,6
81894,5
81986,5
81989,5
81994,1
81994,6
81997,5
81997,6
82360,5
82361,5
82364,5
82368,6
82371,6
82661,1
82661,6
82664,6
82668,5
82758,5
82765,1
82765,6
82768,1
83123,5
83123,1
87550,1
87738,3
87913,3
88800,5
88917,4
89040,4
89178,1
89367,3
89587,4
